airlines;date_post;text;sentiment
american-airlines;2018-09-13;" |  Norfolk to Albuquerque . I am so frustrated with American Airlines. As everyone knows, Hurricane Florence is approaching the East Coast. Well, I have a flight schedule to leave on September 14th, the same day Hurricane Florence is set to make landfall. When I received word that I was able to change my flight and the fee will be waived, I called AA customer service line. I explained to the CS rep that I obtained my ticket with my points and I wanted to cancel my ticket and have my miles credited back to my account. She told me that it can be done. She went to explain to me that two things can happen. The first is, I can purchase another ticket with my points but, I have to fly before September 19th. I informed her that wouldn't work because, If I was not able to travel Friday (14th Sep) there was no reason to fly because I was traveling for a specific reason. So the second thing she tells me is, I could get credit for my points after I pay them $150.00 to credit the points back to my account. I told her that was crazy. Why would I pay $150 for something that I earned for paying full price. She also told me I could forfeit my points if I choose to. This entire conversation was so crazy to me. I told her, it wasn't like I was cancelling on my own, there was a pending storm coming. All she could say was she understood. I don't think she does. I know that I am not the only one that is going through this right now, but it sure feels that way. I knew there was a reason why I didn't fly AA. This Review is for the Customer Service experience, where it all starts. My actual rating is 0/10, however I don't have that option.";NEGATIVE
american-airlines;2018-09-12;" |  Nashville to Miami return. This was my first and last time flying with American Airlines. First off I payed $50 to check my baggage with them which is fine, no problem. When we landed back in Nashville I received my suitcase and saw a hole in the front and scratches all over my suitcase. I then went to their baggage service and she proceeds to tell me that there is nothing they can do about it that it doesn’t “cover”.  I paid you money to transport my luggage and there is nothing you can do about it? Terrible customer service and seriously will never fly with them again.";NEGATIVE
american-airlines;2018-09-12;" |  Colorado Springs to Atlanta via Dallas. I had two delayed flights and three flight changes. I spent all day in airports and I paid extra for my tickets to receive better flight times. I certainly did not get my money's worth there. Every American representative at the airport, on the phone and via email blew me off. Worst customer service ever. I will drive before I ever use American Airlines again.";NEGATIVE
american-airlines;2018-09-09;" |  Philadelphia to Ft Myers. Worst experience with an airline to date . They Cancel a 1040 flight at 8.15am, they then Book me on a 740pm night flight. Send me to gate B11 to find out it has been moved to gate B6 only after asking seeing the flight there is to Detroit. Don't give us the seats from the 1040 flight and charge us 24 dollars a seat extra for the isle seat they cancelled on us in the first place. Don't use this airline. Have had better experience on low fare airlines. Not a good experience will never book my personal or any of my business flights through this airline ever again.";NEGATIVE
american-airlines;2018-09-09;" | 2 plus hours in plane delay was complimented with the crew busy in trying to sell their paid snacks rather than at least asking passengers for water, while air-conditioning was probably turned off as it became hot inside. Instead of 10:49 pm arrival they taxied on both airports for hours while not bothering to give the correct reason or offering any drinks. No wonder the reviews are so low.";NEGATIVE
american-airlines;2018-09-08;" |  American Airlines doesn’t care at all about its customers. No fresh food on the flight from Orlando to Washington DC. No opportunity to buy any real food on the plane for 5 hours (overall 3 hours late). They boarded us on time and then didn’t take off for another 2 hours. Landed 2 hours late and then spent 1 hour waiting for the gate. It’s clear from this experience that American Airlines truly does not care about anyone on their planes. Not the customers, flight attendants, or pilots. Everyone did their best to make it through the experience, but it was truly horrendous.";NEGATIVE
american-airlines;2018-09-08; |  Our flight was scheduled to leave Philadelphia at 7:05 PM. At 6 PM we were informed that our flight had been delayed until 8:20 PM. We began boarding the plane at 7:30 PM only to sit on the plane for the next five hours. At one point we taxied away from the gate only to return back to the gate several minutes later. The whole reason for our five hour delay was that we were waiting on airplane parts for a diabled plane in Glasgow Scotland. After they loaded the airplane parts and we were ready to leave informed us that we need to top off our gas because of the fuel used and taxiing out and having to taxi back to the gate. Then we were delayed again because we had ran out of bottled water on the plane after sitting for several hours. We were on an American Airlines flight from Philadelphia to Glasgow for 12 hours for what should've been a 5.5 hour flight. Of course within missed our connecting flight which there is only one a day out of Glasgow to Stornoway. American Airlines just doesn't seem to be able to get their stuff together.;NEGATIVE
american-airlines;2018-09-08;" |  Greensboro to Bangor via Philadelphia. American continues to be US Airways with a new name only. Employees are dishonest and rude. I had a first class ticket to Bangor through Philadelphia which was delayed due to weather. No problem. Agent says they have a flight next morning he can put me on. He fails to say there is no first class service and doesn't even reserve a seat. Turns out the flight has a 30 minute connection window. Furthermore, AA agent lied about refunding me for my first class ticket. When I persisted, he claimed the puddle jumper they had put me on had nothing but first class seating! Not only are they dishonest, they apparently think their customers are idiots. This is exactly the reason I switched to Delta several years ago. I made them refund my $1000 first class ticket and I bought a flight on Delta for $250. I thought I'd give American another try, but they haven't changed a bit. I'll take my $100K/year spend back to Delta!";NEGATIVE
american-airlines;2018-09-08;" |  Charlotte to Chicago. Horrible service. Flight was ""weather"" delayed so we were rebooked for a different flight. Was supposed to take off 10:25pm. Pushed to midnight because you don't have a backup crew at your main hub in Charlotte? Now the next announcement is 1:15am for the plane to get here? C'mon AA, get us a hotel room, meal voucher and stop wasting our time. I have been up and working since 6am. It is obvious that you don't care about your clients time. This will be a last business trip we book with you for a long time.";NEGATIVE
american-airlines;2018-09-08;" |  Tokyo Haneda to Los Angeles. The legroom in economy was appalling and the service mediocre. I'm 198cm tall (6'6""), and usually when I fly other airlines between Japan and the U.S., I can get some extra legroom at no cost --= either by asking for a bulkhead seat or an exit row. American, however, charges extra for these options. (Seriously!? I'm supposed to pay for the privilege of assisting other passengers in the event of an emergency?!) Other (non-U.S.) airlines consider this a matter of customer service. When the ground attendants see me, they usually understand my need. Moreover, the legroom in a normal economy seat on this flight was horrendous. I actually had way more legroom in a regular economy seat on my flight a few days later with Southwest between Los Angeles and Denver. That's right -- a low-cost carrier offered considerably more legroom on a 2.5-hour flight on a Boeing 737 than American did on a 10-hour flight on a Boeing 787. On top of this, I didn't see any of the flight attendants smile during the whole flight. They weren't actively unfriendly, but they barely even acknowledged passengers with eye contact. I tried to be a model passenger and say ""please"" and ""thank you"" when ordering and receiving drinks and food, but crew members didn't even acknowledge this with a ""You're welcome"" or a smile. Also, the food was decidedly substandard. A few things were good about the flight: The tickets were cheap, the flight was on time, and the entertainment system and options were good. Also, on my return flight the staff were a bit more friendly. These are the reasons I'm rating it a 4. This is why I always try to avoid US. carriers. Fly JAL, ANA, Singapore Airlines or any non-US carrier if you can.";NEGATIVE
american-airlines;2018-09-08;" |  Washington to Boston. It is now 10:30. My original flight from DCA to Boston was supposed to leave at 4:30. After boarding the aircraft, and waiting on the tarmac for 2.5 hours due to weather in Boston, we were told that the flight crew could no longer fly, due to time restrictions. We were told there would be a gate agent at the gate to guide us as we deplaned. There was no gate agent, and I was forced to wait in a 20 minute line only to be told that I could not be rebooked until AA cancelled the flight. An hour and a half later, I received a seat on a. 10 pm. Flight, that was delayed for 30 minutes. The boarding time was 10 pm. At 10:20 the passengers were told that there was a power problem that needed to be fixed. It is now 10:30. American, Your communication stinks, and your people do not have any proper procedures to deal with delays or cancellations. I have had it with you, and will never fly on your planes again.";NEGATIVE
american-airlines;2018-09-07;" |  The worst experience ever! I booked tickets in March 2018 for a trip from Phoenix to DCA in June 2018. We were assigned seats in row 16 on the outbound flight and row 17 on the return flight. I happened to call the airline one week before the flight to ask a question about baggage fees. I was told that the seats had been changed and we were in row 33 on the outbound flight and row 32 on the return flight. The representative was of no help. I was also told that we had been assigned a new flight that was leaving and returning at a different time than the original flight. We were never told of the flight or seat changes and had I called in to ask about the baggage fees we would not have known until we checked in. After several calls I was told that I could “upgrade” my current seats to essentially the same seats I had originally booked for $300 extra. I paid the extra fees because I did not want to sit in the back of the plane. After several more phone calls I was told that they would look into giving me a credit for extra $300. They finally did give me credit for the additional $300 that I paid. That’s all they did. No apology. Nothing. This airline does not care about customer experience. In contrast, my wife and I had a Southwest flight that was just delayed two hours in leaving phoenix to San Francisco. Southwest gave us each a voucher for $100 for the inconvenience. It is hard to believe that an airline such as American does not value it’s customers. Here is the email that they sent regarding our experience… “Thank you for contacting American Airlines on behalf of XXX and XXXX XXXXXXXXX. I'm sorry the advanced seat assignments our mutual clients were given were not the seats they were scheduled to receive at the time of their departure after their flight experienced a schedule change/equipment change. I understand their frustration, as seating arrangements are important to our customers. Because there are several possibilities for why a passenger can lose their pre-requested seat assignment, such as a change in aircraft, a special needs customer, a child traveling alone etc., we cannot guarantee specific seats will be available on day of departure. While I am happy to hear that the XXXXXXXXXX received the seats they requested, albeit at an additional fee, there is no compensation due to them for their time and energy to sort their seating assignments out with a live agent. I am sorry.” I am disappointed with this airline and their customer service.";NEGATIVE
