date,username,tweet
9/23/2018,agungariawan22,@KAI121 Kalau utk ka penataran ml-sgu hari minggu 30 sept yg jam 06.39 apa masih ada tiket dg tempat duduk? Trims
9/23/2018,fradanss,"@KAI121 , Malam, info dong min, kursi nomor berapa sj ya, yang posisinya searah dengan laju kereta Jayakarta premium jurusan YK-PSE.Tks"
9/23/2018,noviasyahidah,@KAI121 Atau harus gambir? krn di tiket stasiun asalnya gambir.
9/23/2018,noviasyahidah,@KAI121 Jatinegara bisa gak?
9/23/2018,belumtidurr,@KAI121 batas waktu untuk refund tiket H- brp yah menjelang keberangkatan ?
9/23/2018,susiloi,@KAI121 apakah bsk stasiiun tnh abang sdh normal kembali
9/23/2018,rezaprll,@KAI121 Di stasiun maguwa bisa melakukan pembelian tiket kajj ?
9/23/2018,fadwalangka,@KAI121 Kalau beli yg jarak jauh tapi turun ke Bojonegoro apa ada lainnya?
9/23/2018,hendri_omenk,@KAI121 Nuhun min
9/23/2018,andre_prast,@KAI121 ok trimakasih infonya...
9/23/2018,lutfia191,@keretaapikita @starjogja @AboutRailfans @keretainfo @InfoKRL @EdanSepurID @kemenhub151 @KAI121 @BudiKaryaS @perkeretaapian Alhamdulillah..mau coba ah kalau nanti selesai Semangat bapak2
9/23/2018,andy_arsln,@KAI121 Kalau beli di channel external bisa cetak boarding di aplikasi KAI access
9/23/2018,anwari_07,@keretaapikita @starjogja @AboutRailfans @keretainfo @InfoKRL @EdanSepurID @kemenhub151 @KAI121 @BudiKaryaS @DiskominfoMKS @perkeretaapian Ini 90% itu darimana ke mana ya?
9/23/2018,dian_9395,@kickhandy @KAI121 @shdkid_ Yoi Qul
9/23/2018,atika_nur_k,@KAI121 Fitur pembatalan tiket
9/23/2018,tinzy_,Min @KAI121  aplikasi baru g semua tampilin available seat y?
9/23/2018,winiwindasari,@KAI121 sudimara tanah abang.. Lancar ga min?
9/23/2018,nuzululpunya,Salut dg respons admin @pln_123 dan @KAI121 .  Semoga smangat terus untuk memberikan layanan terbaiknya. 👍
9/23/2018,ekopvrnomo,Berikut tampilan di apps KAI Access. @KAI121  pic.twitter.com/XrKueAnW3p
9/23/2018,ekopvrnomo,"Kayaknya perlu dimunculkan jumlah kuota kursi yg tersedia (available) berapa min, di apps KAI Access. Jangan cuma menampilkan keterangan ""Available"" dan ""Not Available"" nya saja. Seperti di tampilan web. @KAI121  https://twitter.com/KAI121/status/1043476511158718466 …"
9/23/2018,siti_1881,@KAI121 abis diupdate kenapa jumlah kursi tersedia malah ga ada? Padahal itu info yg sangat berguna
9/23/2018,dwiky_dnf,Mohon info min untuk tarif khusus dari SemarangTawang ke SoloJebres berapa yaaa @KAI121
9/23/2018,hendri_omenk,"@KAI121 Selamat malam Min, untuk cetak tiket apakah bisa dilakukan 1 jam sebelum keberangkatan? Atau ada minimal waktunya? Thx"
9/23/2018,fadwalangka,@KAI121 kereta Malang - Bojonegoro ada apa aja ya?
9/23/2018,bsunardi,@KAI121 1. Fitur reschedule tiket kereta api 2. Fitur pembatalan tiker kereta api
9/23/2018,andre_prast,@KAI121 ada apa dgn KA147 sore ini?mengapa tertahan d stasiun Klaten?
9/23/2018,lagiliburcom,@KAI121 @cewealpukat Bilang aja minta folbek 😏
9/23/2018,agamamiesedaap,@KAI121 @alfifajar20 Admin KAI ni hidupnya senggang..
9/23/2018,utomo71,@KAI121 ka jaka tingkir pws-pse apakah ada masalah? Kok belum berangkat dari stasiun klaten?
9/23/2018,ferdyanptr,@KAI121 @yolandams_ym @AgamaMieSedaap Bawa sendiri lah (2)
9/23/2018,cewealpukat,"@KAI121 Halo, maaf saya ingin kirim pesan via DM (:"
9/23/2018,sapoetrodeny,@KAI121 @AgamaMieSedaap Hahahaha
9/23/2018,deddyn978,@pangestuaji15_ Maaf @KAI121 tapi memang lebih baik dibuat seperti sebelumnya. Jadi jumlah kursi yang tersedia jauh lebih jalas
9/23/2018,drajatdh,"@KAI121 Oke ditunggu tindaklanjutnya, trims (y)"
9/23/2018,primandakhoiro,@KAI121 pembatalan tiket online min
9/23/2018,alfifajar20,@AgamaMieSedaap @KAI121 Sianjir yg kayak ginian juga dibales juga 😂😂😂
9/23/2018,ruyhprojo,"@KAI121 @bundabambim17 @RadioElshinta Saya juga pernah mengalami hal serupa di St. Jatinegara, akan tetapi saat sholat Subuh.  Sebetulnya ada musholla yang lebih besar, akan tetapi untuk menuju kesana harus menyeberang rel, disamping juga letaknya bersebe"
9/23/2018,ferdyanptr,@AgamaMieSedaap @KAI121 Terimakasih min!
9/23/2018,dhie_joe,"@KAI121 min, recruitmen pt KAI webnya apa??"
9/23/2018,radioelshinta,"18.13: RT @bundabambim17 : Suasana maghrib hari ini di Stasiun Gambir, Jakpus. Antrian mushola wanita selalu penuh, dengan mushola sekecil itu tidak tertampung. Mohon perhatiannya. @KAI121 #ElshintaWeekend pic.twitter.com/fvwN0iRMq1"
9/23/2018,kochoirul,@KAI121 Apakah itu berlaku pada semua kereta dan semua kelas?
9/23/2018,awidjokongko,@liajasmina Iya...sebaiknya berapapun seat yg tersedia tetap dicantumkan jumlahnya oleh @KAI121
9/23/2018,androvnugros,Terima kasih atas responnya... Dan tadi sudah ada petugas yg menindak lanjuti dengan sigap... Ntaap 👍 dan semoga segera diperbaiki agar tdk ada yg dikecewakan lg... #respect salut dah buat @KAI121 thanks
9/23/2018,drajatdh,"@KAI121 Min ini ada yg ganjil, seat 7A yg di gerbong kok di aisle, padahal di website seat 7A di window? Senja Utama Solo relasi SLO-PSE gerbong eko premium 4, 23 Sept 2018  pic.twitter.com/x3tdU7aNMl"
9/23/2018,jatipikukuh,"@KAI121 Di stasiun Kutoarjo loket goshow dicampur dengan loket Solo Ekspress hal ini kami rasa kurang efektif, ngantri lama padahal bukan pesan go show. Kenapa tiket solo ekspress tdk di gabung dengan prameks?"
9/23/2018,yolandams_ym,@KAI121 @AgamaMieSedaap Bawa sendiri lah
9/23/2018,kochoirul,"@KAI121 1. Pemesanan makanan dalam kereta, jadi tidak perlu jalan menuju gerbong makan atau menunggu petugas lewat.. Kasihan yg sudah beumur jika harus berjalan jauh jika ingin makan.."
9/23/2018,wellanurokw_,@KAI121 Iyaaaa baru saja tibaaaa. Terima kasih
9/23/2018,sukotjo,"@KAI121 hallo, Min. Pada aplikasi kai access, jumlah ketersediaan kursi kok di hilangkan? Cuman muncul yang tinggal sedikit saja?"
9/23/2018,dina_brook,@KAI121 Alhamdulillah mksh min
9/23/2018,wellanurokw_,Hai @KAI121 Kok tumbenan prameks telat dateng yaaaa? Biasanya keberangkatan pukul 18.00 SLO-YK 30 menit sebelumnya uda dtg keretanya kok ini belum yaaaaaa
9/23/2018,almirajengg,semogaaa.. kedepannya @KAI121 menyediakan gerbong untuk jomblo :(  terimakasih.
9/23/2018,sampaijadidebu0,@KAI121 Untuk skrg saya menaiki kereta KA Bogowonto dari Lempuyangan ke Jatinegara. Di jadwal 17.17 dan skrg 17.40 hampir 30 menit kereta terlambat sampai.
9/23/2018,dina_brook,Min @KAI121 mau tanya kalo tiket uda di pesen trnyta no id nya kurang 1 digit gmn min
9/23/2018,tututsw1,@KAI121 Terima kasih admin yang budiman 😁
9/23/2018,indahindoen,@KAI121 hello mau Tanya bisa g ya pergi orang and motornya barengan gtu? Tujuan k Yogya hrs dgn kreta apa? Terimakasih
9/23/2018,noviasyahidah,@KAI121 Utk reschedulle tiket yg sdh diissued bisakah? Dari jadwal besok Minggu diganti ke Minggu depan. Thx responnya.
9/23/2018,achunksp,"Sy yakin ni org bukan org bandung. Senyum pun tak ada ngeinfoin perubahan jadwal kbrngktan tidak. Aing meli tiket te, lain menta!! #cagerbray @KAI121 @KAI121 @PRFMnews @KeretaBandung pic.twitter.com/ptO0ovc6Qs"
9/23/2018,winto_rosyidin,@KAI121 @AgamaMieSedaap enakan pop mie
9/23/2018,agamamiesedaap,@KAI121 @sapoetrodeny Mahasedaap doang sih kalau kami..
9/23/2018,sampaijadidebu0,@KAI121 Selamat sore min. Apa bisa pelayanannya lebih ditingkatkan lagi. Saya setiap naik kereta waktu datangnya terlambat 30 sampai 45 menit dari jam yg tertera pada tiket. Mohon di perbaiki kualitas pelayanannya
9/23/2018,gogorbangsa,"@KAI121 Slmt sore KAI, fitur pd app KAI yg saya harapkan: (1) cek lokasi KA (sudah ada tapi blm aktif) baik kereta kita & seluruh kereta (bermanfaat jika mau jemput); (2) pesan makanan & sekaligus tampilan menu makanan tanpa hrs punya kode pesan; (3) kebe"
9/23/2018,sapoetrodeny,@KAI121 @AgamaMieSedaap Ya elah... Segala mie popmie dikritisin... Netijen emang maha segalanya.. Anjir....
9/23/2018,ronikuzuma,"Tiket PP kereta yg murah juga, yg buat aku sering pulang tu 😌 berangkat brantas 84k pulangnya matarmaja 109k ditotal cuma 193k doang. Terima kasih @KAI121 @keretaapikita"
9/23/2018,terrapaksimon,@KAI121 At @kai121 —  https://path.com/p/3nlZe3 
9/23/2018,xzans2,@KAI121 @AgamaMieSedaap Cuman karna dia yg praktis mungkin mz
9/23/2018,agamamiesedaap,@KAI121 @Xzans2 Menu mi instan cuma pop mie sih
9/23/2018,berlianpd_,@KAI121 Tadi sy beli buat yg jam 17.16 katanya habis. Gimana min?
9/23/2018,xzans2,@KAI121 @AgamaMieSedaap Perasaan menunya banyak mzz:)
9/23/2018,danangs79,@KAI121 @liajasmina Tapi tgl berangkat beda antara kiri atas dengan samping jam berangkat
9/23/2018,setyawanroni145,"@KAI121 Mksdnya per tanggal 1 oktober sudah ganti rangkaian utk KA KUTOJAYA UTARA??  Klw memang benar,  berarti klw tdk di bulan yg sama atau bln berikutnya KA PURWOJAYA jg bakalan diganti jadi rangkaian SS??  😱 padahal kereta enak tuh tolong nak jngn "
9/23/2018,setyawanroni145,@KAI121 Min saya mau tanya lg apa benar pwr tgl 2 oktober 2018 KA KUTOJAYA UTARA sudah pake rangkian terbru??
9/23/2018,agamamiesedaap,@KAI121 @yolandams_ym Nasi di kereta mahal pun 😐
9/23/2018,yolandams_ym,@KAI121 @AgamaMieSedaap Aku pop mie di tambah nasi 😍
9/23/2018,dewo_qq,@KAI121 min mau tanya apa saja syarat pemesanan tiket rombongan?apa bisa melayani hanya 15 orang tidak harus sampai 20 orang?terima kasih
9/23/2018,sukisramadhanp,@KAI121 Pukul 20.36
9/23/2018,ibraditya,@KAI121 @AgamaMieSedaap Konon katanya ada bakmi mewah
9/23/2018,takemiyu96,@KAI121 admin krl dari stasiun kebayoran ke sudimara masih bisa kn?
9/23/2018,chisna27,"@KAI121 And the riffs come in (@ Stasiun Gambir - @kai121 in Jakarta Pusat, DKI Jakarta)  https://www.swarmapp.com/c/fNZeNzbF3Ox "
9/23/2018,agamamiesedaap,@KAI121 @fahmikrisna @DitaLestariHA Kpop mie dong..
9/23/2018,androvnugros,"@KAI121 min... Label hurufnya tolong diperbaiki dong.. (KA Malabar/91 - Bisnis 1) saya udah pesan jauh hari huruf A agar dpt posisi samping, Tp kok gini jadinya :( cukup kecewaa... Terima kasih  pic.twitter.com/TozvgnDZgp"
9/23/2018,manbieber5,"@KAI121 Tiket ka lokal jngn di adakan di aplikasi. Cukup kereta jarak jauh aja,kalo menurut saya. Takut tabrakan kalo lg pesen,apa lg kalo lg musim liburan atau mudik lebaran. Jngn ya min ka lokal di aplikasi kai access,soalnya udah bagus kai access"
9/23/2018,liajasmina,@KAI121 @awidjokongko Koreksi....tampaknya app hasil update malah yg tdk menampilkan sisa kursi. Sepertinya jika disebut 'tersedia' berarti masih banyak. Silakan dibandingkan... pic.twitter.com/zJQq989Jrh
9/23/2018,rangganjay_,@KAI121 apakah ini info benar?  pic.twitter.com/zXUEMqHqqn
9/23/2018,alyufison,@KAI121 Sudah. Dan tetap belum bisa.  Mungkin saya akan menanyakan saat Job Fair di UNS saja min.  Terima kasih
9/23/2018,bauttech,@KAI121 Menyulitkan kami pejuang go show untuk mengatur strategi dalam rangka mendapatkan tiket yang terjangkau
9/23/2018,greendulu,"Intinya HARGAILAH HAK ORG LAIN. Jgn cuma @KAI121 & @mrtjakarta, tempat2 yg potensi org buru2 spti @angkasapura172 @AP_Airports @contactap2 mestinya jg mengedukasi ini yg di kita masih amat rendah. Pakai bahasa Indonesia sj kerna utk org2 kita. https://twitter.com/BeritagarID/status/1043651305431072770 …"
9/23/2018,ekaapriastuti,@KAI121 @molithe iya saya juga td coba ga bisa2 lewat 3 aplikasi. pas tahap pembayaran.  tapi akhirnya sy pesan via tlpn pt KAI 😊 dan akhirnya bisa
9/23/2018,kidwp,@KAI121 Baik terima kasih
9/23/2018,pradini_hr,@KAI121 Pemesanan porter secara online
9/23/2018,dolan_wae,@KAI121 @torotrapah Alhamdulillah
9/23/2018,fadillamus,"@KAI121 Oke , terimakasih banyak infonya:)"
9/23/2018,torotrapah,@KAI121 @Dolan_Wae wes digae adek dek omah
9/23/2018,sukisramadhanp,@KAI121 Untuk keberangkatam hari ini admin.
9/23/2018,dolan_wae,"@KAI121 @torotrapah Oo iyo, Polygon e gurung payu yo"
9/23/2018,ditalestariha,@KAI121 @AgamaMieSedaap @fahmikrisna pop mie tetep yg terbaeq
9/23/2018,torotrapah,"@KAI121 @Dolan_Wae sy kan low profile ngunu wonge mas, mosok ra paham sampean"
9/23/2018,ambarambare,@KAI121 Kalo gini gimana ya min? Saya mau pembayaran tidak bisa terus pic.twitter.com/bWR7h1gd9W
9/23/2018,dolan_wae,@KAI121 @torotrapah Tumben naik ekonomi
9/23/2018,fahmikrisna,@KAI121 @AgamaMieSedaap Mie Sedaap yang goreng cup ya
9/23/2018,tututsw1,Selamat sore admin @KAI121 . Mau tanya untuk ka dari sidoarjo ke surabaya adanya jam berapa saja ya. Untuk ka lokal atau komuter. Terima kasih
9/23/2018,devinadwi,"Halo, saya tgl 20 Agustus melakukan pembatalan tiket KA PSE-YK  dan tertera tgl pengembalian 19 Sep, melalui transfer namun sampai tgl ini (23 sep) belum ada yg masuk, tolong infonya. Thanks @KAI121"
9/23/2018,agamamiesedaap,"Yth @KAI121, knp menu mi instan di kereta cuma Pop Mie? Tolong tambahkan Mie Sedaap cup 🙏🙏.   Terimie kasih."
